name,location
上海汽车城,"121.180742,31.285403"
浦电路(6号线),"121.529122,31.220104"
野生动物园,"121.699218,31.050325"
萧塘,"121.441857,30.965888"
浦电路(4号线),"121.532080,31.222285"
汇金路,"121.151665,31.161221"
松江新城,"121.230739,31.030295"
奉浦大道,"121.448984,30.942055"
浦东国际机场,"121.806436,31.149596"
松江体育中心,"121.230546,31.016006"
环城东路,"121.463204,30.931168"
望园路,"121.483580,30.931940"
金海湖,"121.492506,30.928805"
惠南,"121.761677,31.053828"
青浦新城,"121.125670,31.158925"
醉白池,"121.229361,31.001125"
奉贤新城,"121.496290,30.913916"
松江南站,"121.230884,30.984818"
漕盈路,"121.096889,31.160467"
惠南东,"121.793800,31.026448"
淀山湖大道,"121.082134,31.134460"
朱家角,"121.048989,31.100594"
东方绿舟,"121.019534,31.098544"
书院,"121.850520,30.959264"
临港大道,"121.910851,30.923519"
滴水湖,"121.929583,30.907245"
虹桥1号航站楼,"121.347371,31.191363"
虹桥2号航站楼,"121.326300,31.194211"
外高桥保税区南,"121.601963,31.321578"
外高桥保税区北,"121.586926,31.347802"
上海儿童医学中心,"121.523482,31.203277"
