name,location
紫草坞,"116.086720,39.724606"
阎村,"116.080165,39.716731"
俸伯,"116.684732,40.132573"
南邵,"116.287534,40.207484"
星城,"116.061370,39.713681"
北邵洼,"116.281949,40.222001"
昌平东关,"116.262059,40.221726"
大石河东,"116.039906,39.709893"
昌平,"116.233590,40.220550"
马各庄,"116.016606,39.705103"
饶乐府,"116.006103,39.701471"
十三陵景区,"116.207637,40.240214"
昌平西山口,"116.195369,40.244629"
房山城关,"115.989599,39.706061"
燕山,"115.973395,39.719615"
老城区,"115.987957,39.693188"
顾册,"115.977654,39.681906"
周口店镇,"115.958678,39.676356"
马坊,"116.998614,40.056410"
马昌营,"117.021883,40.143309"
平谷,"117.095622,40.150056"
